	Glottocode	Doculect	The presence of onset violations	The presence of coda violations
0	ukur1240	lexibank-zgraggenmadang-ukuriguma	No	No
1	bari1297	lexibank-hubercolumbian-bari	Yes	No
2	darl1243	ausphonlex_v0-4:Southern Paakintyi	No	No
3	jili1241	lexibank-zgraggenmadang-jilim	No	Yes
4	halh1238	lexibank-northeuralex-khalkhamongolian	Yes	Yes
5	kore1280	lexibank-northeuralex-korean	No	Yes
6	kaer1234	lexibank-robinsonap-kaera	No	No
7	band1339	ausphonlex_v0-4:Waalubal	No	No
8	tatu1247	lexibank-hubercolumbian-tatuyo	No	No
9	paka1251	ausphonlex_v0-4:Bakanh	No	No
10	iwai1244	ausphonlex_v0-4:Iwaidja	No	No
11	nucl1302	lexibank-northeuralex-georgian	Yes	Yes
12	paez1247	lexibank-hubercolumbian-paez	Yes	Yes
13	mala1494	lexibank-zgraggenmadang-mala	No	No
14	biyo1244	lexibank-zgraggenmadang-biyom	Yes	No
15	guan1269	lexibank-hubercolumbian-wanano	No	No
16	nung1291	ausphonlex_v0-4:Nungali	No	No
17	fait1240	lexibank-zgraggenmadang-faita	Yes	Yes
18	nede1245	lexibank-robinsonap-nedebang	Yes	No
19	naru1238	ausphonlex_v0-4:Narrungga	No	No
20	anam1247	lexibank-zgraggenmadang-anam	Yes	Yes
21	gami1243	ausphonlex_v0-4:Gamilaraay	No	No
22	cams1241	lexibank-hubercolumbian-kamsa	Yes	Yes
23	guan1279	lexibank-beidasinitic-Guangzhou	No	No
24	telu1262	lexibank-northeuralex-telugu	Yes	No
25	ukra1253	lexibank-northeuralex-ukrainian	Yes	Yes
26	gall1278	lexibank-zgraggenmadang-gal	No	No
27	dhar1248	ausphonlex_v0-4:Dharumbal	No	No
28	nung1290	ausphonlex_v0-4:Wubuy	No	No
29	guri1247	ausphonlex_v0-4:Gurindji	No	No
30	guny1241	ausphonlex_v0-4:Gunya	No	No
31	yuwa1243	ausphonlex_v0-4:Yuwaliyaay	No	No
32	bela1254	lexibank-northeuralex-belarusian	Yes	Yes
33	biri1256	ausphonlex_v0-4:Wiri	No	No
34	limi1242	ausphonlex_v0-4:Limilngan	No	No
35	ikar1243	ausphonlex_v0-4:Ikarranggal	Yes	No
36	cari1279	lexibank-hubercolumbian-carijona	No	No
37	west2443	ausphonlex_v0-4:Wotjobaluk	No	No
38	mang1382	ausphonlex_v0-4:Mengerrdji	No	Yes
39	kunm1234	lexibank-beidasinitic-Kunming	No	No
40	nort2646	lexibank-northeuralex-northernpashto	Yes	Yes
41	pila1246	lexibank-zgraggenmadang-maia-pila	Yes	Yes
42	bulg1262	lexibank-northeuralex-bulgarian	Yes	Yes
43	kelo1247	lexibank-robinsonap-klon	Yes	Yes
44	wamb1258	ausphonlex_v0-4:Wambaya	No	No
45	yuet1238	lexibank-beidasinitic-Meixian	No	No
46	manc1252	lexibank-northeuralex-manchu	No	Yes
47	mumm1238	lexibank-zgraggenmadang-mum	Yes	Yes
48	pani1258	lexibank-zgraggenmadang-panim	No	Yes
49	xiam1236	lexibank-beidasinitic-Xiamen	No	No
50	arhu1242	lexibank-hubercolumbian-ika	Yes	No
51	ngad1258	ausphonlex_v0-4:Mirrniny	No	No
52	ngan1291	lexibank-northeuralex-nganasan	Yes	No
53	dhal1246	ausphonlex_v0-4:Dhay'yi	No	No
54	kart1247	ausphonlex_v0-4:Kartujarra	No	No
55	bret1244	lexibank-northeuralex-breton	Yes	Yes
56	livv1243	lexibank-northeuralex-olonetskarelian	Yes	Yes
57	nija1241	ausphonlex_v0-4:Nyiyaparli	No	No
58	udmu1245	lexibank-northeuralex-udmurt	Yes	Yes
59	NaN	ausphonlex_v0-4:Thaynakwithi	Yes	Yes
60	bauu1244	lexibank-zgraggenmadang-bau	No	No
61	yuru1263	lexibank-hubercolumbian-yuruti	No	No
62	aleu1260	lexibank-northeuralex-aleut	Yes	Yes
63	hung1274	lexibank-northeuralex-hungarian	No	Yes
64	jina1245	lexibank-beidasinitic-Jinan	No	No
65	khan1273	lexibank-northeuralex-northernkhanty	Yes	Yes
66	cent2004	lexibank-allenbai-Yunlong	No	No
67	dump1243	lexibank-zgraggenmadang-watiwa	Yes	No
68	kwat1244	lexibank-zgraggenmadang-waube	Yes	No
69	alaw1244	ausphonlex_v0-4:Alawa	Yes	No
70	chen1267	lexibank-beidasinitic-Chengdu	No	No
71	dyir1250	ausphonlex_v0-4:Dyirbal	No	No
72	umpi1239	ausphonlex_v0-4:Umpila	No	No
73	nyaw1247	ausphonlex_v0-4:Nyawaygi	No	No
74	hind1269	lexibank-northeuralex-hindi	Yes	Yes
75	maca1259	lexibank-hubercolumbian-jitnu	No	Yes
76	nort2745	lexibank-northeuralex-northernyukaghir	No	Yes
77	mala1464	lexibank-northeuralex-malayalam	Yes	No
78	awac1239	lexibank-hubercolumbian-awa	Yes	Yes
79	sout2674	lexibank-northeuralex-southernsami	Yes	Yes
80	gurd1238	ausphonlex_v0-4:Kurtjar	Yes	No
81	cent2004	lexibank-allenbai-Eryuan	No	No
82	yayg1236	ausphonlex_v0-4:Yaygir	No	No
83	tuca1252	lexibank-hubercolumbian-tucano	No	No
84	komi1269	lexibank-northeuralex-komipermyak	Yes	Yes
85	lati1261	lexibank-northeuralex-latin	Yes	Yes
86	samo1306	lexibank-zgraggenmadang-samosa	No	No
87	ward1246	ausphonlex_v0-4:Wardaman	No	No
88	alor1249	lexibank-robinsonap-alorpantar	No	No
89	adny1235	ausphonlex_v0-4:Adnyamathanha	No	No
90	suma1270	lexibank-zgraggenmadang-sumau	No	No
91	wanm1242	ausphonlex_v0-4:Warnman	No	No
92	guma1255	lexibank-zgraggenmadang-gumalu	Yes	Yes
93	embe1261	lexibank-hubercolumbian-emberatado	No	No
94	cent2004	lexibank-allenbai-Jianchuan	No	No
95	warr1255	ausphonlex_v0-4:Warrgamay	No	No
96	beij1234	lexibank-beidasinitic-Beijing	No	No
97	oyka1239	ausphonlex_v0-4:Oykangand	No	Yes
98	nucl1305	lexibank-northeuralex-kannada	Yes	Yes
99	ngar1235	ausphonlex_v0-4:Ngarinyman	No	No
100	waim1255	lexibank-hubercolumbian-bara	No	No
101	bagu1252	lexibank-zgraggenmadang-bagupi	No	No
102	inar1241	lexibank-northeuralex-inarisami	Yes	Yes
103	colo1256	lexibank-hubercolumbian-tsafiquipila	No	Yes
