doculect	glottocode	macroarea	tip_label	glottocode2	weight_ACL	weight_BM
lexibank-northeuralex-abkhaz	abkh1244	Eurasia	Abkhaz	abkh1244	0.006986	0.0049
lexibank-robinsonap-abui	abui1241	Papunesia	Abui	abui1241	0.001264	0.0021
lexibank-hubercolumbian-achagua	acha1250	Americas	Achagua	acha1250	0.000246	0.0009
lexibank-robinsonap-adang	adan1251	Papunesia	Adang	adan1251	0.000220	0.0009
ausphonlex_v0-4:Adnyamathanha	adny1235	Australia	Adnyamathanha	adny1235	0.000064	0.0009
lexibank-northeuralex-adyghe	adyg1241	Eurasia	Adyghe	adyg1241	0.006986	0.0049
lexibank-northeuralex-hokkaidoainu	ainu1240	Eurasia	Hokkaidoainu	ainu1240	0.017465	0.0064
ausphonlex_v0-4:Alawa	alaw1244	Australia	Alawa	alaw1244	0.001965	0.0027
lexibank-northeuralex-standardalbanian	alba1267	Eurasia	Standardalbanian	alba1267	0.002370	0.0041
lexibank-northeuralex-aleut	aleu1260	Americas	Aleut	aleu1260	0.008527	0.0056
lexibank-robinsonap-alorpantar	alor1249	Papunesia	Alorpantar	alor1249	0.006423	0.0037
lexibank-zgraggenmadang-amaimon	amai1246	Papunesia	Amaimon	amai1246	0.001289	0.0023
ausphonlex_v0-4:Amurdak	amar1271	Australia	Amurdak	amar1271	0.004632	0.0042
lexibank-zgraggenmadang-amele	amel1241	Papunesia	Amele	amel1241	0.000071	0.0006
ausphonlex_v0-4:Emmi	amii1238	Australia	Emmi	amii1238	0.016214	0.0063
lexibank-zgraggenmadang-anam	anam1247	Papunesia	Anam	anam1247	0.000508	0.0011
lexibank-zgraggenmadang-anamgura	anam1248	Papunesia	Anamgura	anam1248	0.000203	0.0006
ausphonlex_v0-4:Angkamuthi	angg1238	Australia	Angkamuthi	angg1238	0.000008	0.0005
ausphonlex_v0-4:Anguthimri	angu1242	Australia	Anguthimri	angu1242	0.000019	0.0009
lexibank-zgraggenmadang-anjam	anja1238	Papunesia	Anjam	anja1238	0.000283	0.0011
lexibank-zgraggenmadang-apali	apal1256	Papunesia	Apali	apal1256	0.000395	0.0009
lexibank-zgraggenmadang-arawum	araw1272	Papunesia	Arawum	araw1272	0.000231	0.0010
lexibank-hubercolumbian-ika	arhu1242	Americas	Ika	arhu1242	0.000718	0.0013
lexibank-zgraggenmadang-asas	asas1240	Papunesia	Asas	asas1240	0.000164	0.0009
ausphonlex_v0-4:Atampaya	atam1239	Australia	Atampaya	atam1239	0.000020	0.0009
lexibank-zgraggenmadang-atemble	atem1241	Papunesia	Atemble	atem1241	0.000521	0.0011
lexibank-northeuralex-avar	avar1256	Eurasia	Avar	avar1256	0.000682	0.0016
lexibank-hubercolumbian-awa	awac1239	Americas	Awa	awac1239	0.006326	0.0051
ausphonlex_v0-4:Ayapathu	ayab1239	Australia	Ayapathu	ayab1239	0.000006	0.0005
ausphonlex_v0-4:Yintyingka	ayab1239	Australia	Yintyingka	ayab1239_2	0.000006	0.0005
ausphonlex_v0-4:Badimaya	badi1246	Australia	Badimaya	badi1246	0.000035	0.0008
lexibank-zgraggenmadang-bagupi	bagu1252	Papunesia	Bagupi	bagu1252	0.000015	0.0003
lexibank-zgraggenmadang-baimak	baim1245	Papunesia	Baimak	baim1245	0.000014	0.0003
ausphonlex_v0-4:Waalubal	band1339	Australia	Waalubal	band1339	0.000053	0.0010
lexibank-hubercolumbian-baniva	bani1254	Americas	Baniva	bani1254	0.005961	0.0047
lexibank-hubercolumbian-barasana	bara1380	Americas	Barasana	bara1380	0.000591	0.0013
ausphonlex_v0-4:Bardi	bard1255	Australia	Bardi	bard1255	0.006485	0.0049
lexibank-zgraggenmadang-bargam	barg1252	Papunesia	Bargam	barg1252	0.000547	0.0016
lexibank-hubercolumbian-bari	bari1297	Americas	Bari	bari1297	0.003770	0.0037
lexibank-northeuralex-bashkir	bash1264	Eurasia	Bashkir	bash1264	0.000313	0.0010
lexibank-northeuralex-basque	basq1248	Eurasia	Basque	basq1248	0.017465	0.0064
lexibank-hubercolumbian-epenabasurudo	basu1242	Americas	Epenabasurudo	basu1242	0.000803	0.0014
lexibank-hubercolumbian-epenasaija	basu1242	Americas	Epenasaija	basu1242_2	0.000803	0.0014
ausphonlex_v0-4:Butchulla	baty1234	Australia	Butchulla	baty1234	0.000059	0.0011
lexibank-zgraggenmadang-bau	bauu1244	Papunesia	Bau	bauu1244	0.000020	0.0003
ausphonlex_v0-4:Payungu	bayu1240	Australia	Payungu	bayu1240	0.000044	0.0011
lexibank-beidasinitic-Beijing	beij1234	Eurasia	Beijing	beij1234	0.000077	0.0005
lexibank-northeuralex-belarusian	bela1254	Eurasia	Belarusian	bela1254	0.000109	0.0009
lexibank-northeuralex-bengali	beng1280	Eurasia	Bengali	beng1280	0.000441	0.0020
lexibank-zgraggenmadang-bepour	bepo1240	Papunesia	Bepour	bepo1240	0.000234	0.0011
ausphonlex_v0-4:Bidyara	bidy1243	Australia	Bidyara	bidy1243	0.000083	0.0013
lexibank-zgraggenmadang-bilakura	bila1257	Papunesia	Bilakura	bila1257	0.000166	0.0009
ausphonlex_v0-4:Bilinarra	bili1250	Australia	Bilinarra	bili1250	0.000007	0.0003
ausphonlex_v0-4:Biri	biri1256	Australia	Biri	biri1256	0.000062	0.0010
ausphonlex_v0-4:Wiri	biri1256	Australia	Wiri	biri1256_2	0.000062	0.0010
lexibank-zgraggenmadang-biyom	biyo1244	Papunesia	Biyom	biyo1244	0.000509	0.0015
lexibank-robinsonap-blagar	blag1240	Papunesia	Blagar	blag1240	0.000220	0.0009
lexibank-zgraggenmadang-bongu	bong1291	Papunesia	Bongu	bong1291	0.000283	0.0011
lexibank-zgraggenmadang-brem	brem1238	Papunesia	Brem	brem1238	0.000234	0.0011
lexibank-northeuralex-breton	bret1244	Eurasia	Breton	bret1244	0.000412	0.0018
ausphonlex_v0-4:Bularnu	bula1255	Australia	Bularnu	bula1255	0.000086	0.0011
lexibank-northeuralex-bulgarian	bulg1262	Eurasia	Bulgarian	bulg1262	0.000166	0.0012
ausphonlex_v0-4:Bunuba	buna1275	Australia	Bunuba	buna1275	0.006485	0.0049
ausphonlex_v0-4:Burarra	bura1267	Australia	Burarra	bura1267	0.002820	0.0034
ausphonlex_v0-4:Purduna	burd1238	Australia	Purduna	burd1238	0.000018	0.0006
lexibank-northeuralex-buryat	buri1258	Eurasia	Buryat	buri1258	0.007593	0.0055
lexibank-northeuralex-burushaski	buru1296	Eurasia	Burushaski	buru1296	0.017465	0.0064
lexibank-hubercolumbian-cabiyari	cabi1241	Americas	Cabiyari	cabi1241	0.000614	0.0015
lexibank-hubercolumbian-kakua	cacu1241	Americas	Kakua	cacu1241	0.007845	0.0050
lexibank-hubercolumbian-kamsa	cams1241	Americas	Kamsa	cams1241	0.019611	0.0066
lexibank-hubercolumbian-carapana	cara1272	Americas	Carapana	cara1272	0.000315	0.0009
lexibank-hubercolumbian-carijona	cari1279	Americas	Carijona	cari1279	0.007845	0.0050
lexibank-northeuralex-centralsiberianyupik	cent2128	Eurasia	Centralsiberianyupik	cent2128	0.003411	0.0034
lexibank-hubercolumbian-tunebocentral	cent2150	Americas	Tunebocentral	cent2150	0.003770	0.0037
lexibank-hubercolumbian-chapalaachi	chac1249	Americas	Chapalaachi	chac1249	0.002531	0.0032
lexibank-beidasinitic-Changsha	chan1326	Eurasia	Changsha	chan1326	0.000640	0.0015
lexibank-beidasinitic-Chaozhou	chao1238	Eurasia	Chaozhou	chao1238	0.000673	0.0013
lexibank-northeuralex-chechen	chec1245	Eurasia	Chechen	chec1245	0.007327	0.0053
lexibank-beidasinitic-Chengdu	chen1267	Eurasia	Chengdu	chen1267	0.000031	0.0004
lexibank-hubercolumbian-chimila	chim1309	Americas	Chimila	chim1309	0.004129	0.0041
lexibank-northeuralex-chukchi	chuk1273	Eurasia	Chukchi	chuk1273	0.006986	0.0049
lexibank-northeuralex-chuvash	chuv1255	Eurasia	Chuvash	chuv1255	0.007346	0.0054
lexibank-hubercolumbian-kogui	cogu1240	Americas	Kogui	cogu1240	0.001795	0.0025
lexibank-hubercolumbian-tsafiquipila	colo1256	Americas	Tsafiquipila	colo1256	0.002531	0.0032
lexibank-northeuralex-croatian	croa1245	Eurasia	Croatian	croa1245	0.000066	0.0006
lexibank-hubercolumbian-cubeo	cube1242	Americas	Cubeo	cube1242	0.000642	0.0014
lexibank-hubercolumbian-cuiba	cuib1242	Americas	Cuiba	cuib1242	0.002598	0.0034
lexibank-hubercolumbian-curripaco	curr1243	Americas	Curripaco	curr1243	0.000267	0.0010
lexibank-northeuralex-czech	czec1258	Eurasia	Czech	czec1258	0.000066	0.0006
lexibank-zgraggenmadang-danaru	dana1254	Papunesia	Danaru	dana1254	0.000154	0.0008
lexibank-northeuralex-danish	dani1285	Eurasia	Danish	dani1285	0.000326	0.0017
lexibank-northeuralex-dargwa	darg1241	Eurasia	Dargwa	darg1241	0.001704	0.0026
ausphonlex_v0-4:Southern Paakintyi	darl1243	Australia	Southern Paakintyi	darl1243	0.000451	0.0027
