name,tip,has_onset_violation,has_coda_violation
Abkhaz,abkh1244,1,1
Abui,abui1241,0,0
Achagua,acha1250,0,1
Adang,adan1251,0,1
Adnyamathanha,adny1235,0,0
Adyghe,adyg1241,1,1
Hokkaidoainu,ainu1240,0,0
Alawa,alaw1244,1,0
Standardalbanian,alba1267,1,1
Aleut,aleu1260,1,1
Alorpantar,alor1249,0,0
Amaimon,amai1246,1,1
Amurdak,amar1271,0,0
Amele,amel1241,0,1
Emmi,amii1238,0,0
Anam,anam1247,1,1
Anamgura,anam1248,1,1
Angkamuthi,angg1238,0,0
Anguthimri,angu1242,1,0
Anjam,anja1238,0,1
Apali,apal1256,1,1
Arawum,araw1272,1,0
Ika,arhu1242,1,0
Asas,asas1240,0,0
Atampaya,atam1239,0,0
Atemble,atem1241,1,1
Avar,avar1256,1,1
Awa,awac1239,1,1
Ayapathu,ayab1239-1,0,0
Yintyingka,ayab1239-2,0,0
Badimaya,badi1246,0,0
Bagupi,bagu1252,0,0
Baimak,baim1245,0,1
Waalubal,waal1238,0,0
Baniva,bani1254,0,0
Barasana,bara1380,0,0
Bardi,bard1255,0,0
Bargam,barg1252,1,0
Bari,bari1297,1,0
Bashkir,bash1264,1,1
Basque,basq1248,0,1
Epenabasurudo,basu1242-1,0,0
Epenasaija,basu1242-2,0,0
Butchulla,baty1234,0,0
Bau,bauu1244,0,0
Payungu,bayu1240,0,0
Beijing,beij1234,0,0
Belarusian,bela1254,1,1
Bengali,beng1280,1,1
Bepour,bepo1240,0,0
Bidyara,bidy1243,0,0
Bilakura,bila1257,1,0
Bilinarra,bili1250,0,0
Biri,biri1256-1,0,0
Wiri,biri1256-2,0,0
Biyom,biyo1244,1,0
Blagar,blag1240,0,0
Bongu,bong1291,1,1
Brem,brem1238,1,1
Breton,bret1244,1,1
Bularnu,bula1255,0,0
Bulgarian,bulg1262,1,1
Bunuba,buna1275,0,0
Burarra,bura1267,1,0
Purduna,burd1238,0,0
Buryat,buri1258,1,1
Burushaski,buru1296,1,1
Cabiyari,cabi1241,0,0
Kakua,cacu1241,0,0
Kamsa,cams1241,1,1
Carapana,cara1272,0,0
Carijona,cari1279,0,0
Centralsiberianyupik,cent2128,1,0
Tunebocentral,cent2150,1,0
Chapalaachi,chac1249,1,0
Changsha,chan1326,0,0
Chaozhou,chao1238,0,0
Chechen,chec1245,1,1
Chengdu,chen1267,0,0
Chimila,chim1309,1,0
Chukchi,chuk1273,1,1
Chuvash,chuv1255,1,1
Kogui,cogu1240,1,0
Tsafiquipila,colo1256,0,1
Croatian,croa1245,1,1
Cubeo,cube1242,0,0
Cuiba,cuib1242,0,0
Curripaco,curr1243,0,0
Czech,czec1258,1,1
Danaru,dana1254,1,1
Danish,dani1285,0,1
Dargwa,darg1241,1,1
Southern Paakintyi,darl1243,0,0
Desano,desa1247,1,0
Thalanyji,dhal1245,0,0
Dhay'yi,dhal1246,0,0
Dhangu,dhan1270,0,0
Tharrkari,dhar1247,0,0
Dharumbal,dhar1248,0,0
Tsez,dido1241,0,1
Diyari,diye1234,0,0
Gavak,dimi1244,1,0
Thirarri,dira1238,0,0
Djapu,djap1238,0,0
Jawoyn,djau1244,0,0
Djinang,djin1253,0,1
Jiwarli,djiw1241,0,0
Uyajitaya,dudu1240,0,0
Watiwa,dump1243,1,0
Dutch,dutc1256,1,1
Duungidjawu,duun1241,0,0
Djabugay,dyaa1242,0,0
Dyirbal,dyir1250,0,0
Meadowmari,east2328,1,1
Eastern Anmatyerre,east2380,1,1
Waimaja,east2560,1,0
Catio,embe1260,0,0
Emberatado,embe1261,0,0
Emberachami,embe1262,0,0
Erre,erre1238,0,1
Eryuan,eryu1239,0,0
Erzya,erzy1239,1,1
Estonian,esto1258,0,1
Evenki,even1259,1,1
Faita,fait1240,1,1
Finnish,finn1318,0,0
Forestenets,fore1265,0,1
Fuzhou,fuzh1239,0,0
Gal,gall1278,0,0
Gamilaraay,gami1243,0,0
Gangulu,gang1268,0,0
Ganglau,gang1270,1,1
Garus,garu1246,0,0
Gidabal,gida1240,0,0
Nivkh,gily1242,1,1
Girawa,gira1247,1,0
Gooniyandi,goon1238,0,0
Guahibo,guah1255,0,1
Guambiano,guam1248,0,1
Wanano,guan1269,0,0
Guangzhou,guan1279,0,0
Guayabero,guay1257,0,1
Gudanji,guda1243,0,0
Gugu Badhun,gugu1253,0,0
Koko Bera,gugu1254,0,0
Guugu Yimidhirr,gugu1255,0,0
Gumalu,guma1255,1,1
Gun-Djeihmi,gund1246,0,0
Kunwinjku,guma1252,0,0
Gunya,guny1241,0,0
Gupapuyngu,gupa1247,0,0
Gurr-Goni,gura1252,1,0
Kurtjar,gurd1238,1,0
Gurindji,guri1247,0,0
Guwamu,guwa1243,0,0
Khalkhamongolian,halh1238,1,1
Modernhebrew,hebr1245,1,1
Hefei,hefe1234,0,0
Heqing,heqi1238,0,0
Hindi,hind1269,1,1
Hungarian,hung1274,0,1
Jupda,hupd1244,0,0
Icelandic,icel1247,1,1
Ikarranggal,ikar1243-1,1,0
Ogh Angkula,ikar1243-2,0,1
Inarisami,inar1241,1,1
Inga,inga1252,1,0
Irish,iris1253,1,0
Isabi,isab1240,1,0
Isebe,iseb1246,0,0
Italian,ital1282,1,0
Itelmen,itel1242,1,1
Iwaidja,iwai1244,0,0
Jaru,jaru1254,0,0
Jianchuan,jian1239,0,0
Jilim,jili1241,0,1
Jinan,jina1245,0,0
Kaera,kaer1234,0,0
Kalaallisut,kala1399,1,0
Kalkatungu,kalk1246,1,0
Kalmyk,kalm1243,1,1
Kamang,kama1365,1,0
